SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount
B-00001,A-00255,B-00037,2024-09-08,4,413.69
C-00002,C-00260,B-00100,2025-03-12,2,212.71
A-00003,A-00231,A-00072,2025-04-12,4,379.29
B-00004,A-00486,A-00072,2025-04-14,2,268.64
C-00005,B-00091,C-00047,2025-03-19,2,318.48
A-00006,B-00238,B-00037,2024-12-11,2,365.33
B-00007,C-00245,A-00084,2025-02-02,4,479.71
C-00008,C-00071,B-00013,2025-04-30,4,101.84
A-00009,B-00136,C-00047,2024-08-19,1,430.01
B-00010,A-00462,B-00007,2024-10-18,5,146.03
C-00011,C-00464,B-00085,2024-10-16,1,324.27
A-00012,B-00010,B-00058,2024-09-14,5,302.99
B-00013,A-00474,A-00048,2024-08-17,2,435.68
C-00014,A-00168,A-00021,2024-09-09,1,271.6
A-00015,C-00437,B-00040,2025-03-04,3,335.93
B-00016,B-00073,C-00047,2025-02-20,4,400.69
C-00017,C-00212,A-00048,2024-09-18,2,278.34
A-00018,A-00465,A-00042,2025-05-11,2,153.98
B-00019,B-00121,C-00071,2024-06-15,3,408.87
C-00020,B-00094,C-00023,2024-12-27,2,55.79
A-00021,B-00364,C-00005,2025-03-21,1,203.35
B-00022,B-00472,C-00041,2025-04-16,2,417.2
C-00023,C-00110,B-00025,2025-03-01,1,367.68
A-00024,A-00147,B-00097,2024-08-14,2,353.55
B-00025,B-00478,A-00075,2025-03-18,1,210.32
C-00026,B-00064,C-00002,2025-04-21,5,331.58
A-00027,B-00211,A-00063,2024-08-03,4,186.88
B-00028,A-00264,C-00020,2025-03-08,2,203.25
C-00029,C-00389,C-00074,2024-12-17,1,371.71
A-00030,C-00038,A-00054,2025-05-01,1,403.23
B-00031,A-00237,C-00071,2024-08-22,3,456.8
C-00032,A-00183,B-00082,2024-10-30,4,208.48
A-00033,A-00147,A-00054,2024-07-13,1,462.1
B-00034,C-00467,C-00026,2024-09-02,4,290.06
C-00035,C-00026,C-00029,2025-02-27,5,130.42
A-00036,C-00323,C-00011,2024-10-04,3,166.25
B-00037,B-00403,A-00096,2025-03-24,3,246.19
C-00038,C-00176,B-00073,2024-09-19,1,98.48
A-00039,A-00012,A-00084,2025-01-08,2,342.49
B-00040,C-00200,B-00061,2025-02-19,4,489.64
C-00041,C-00170,B-00034,2025-04-17,5,101.84
A-00042,C-00260,A-00081,2025-02-14,4,414.4
B-00043,C-00473,B-00094,2025-05-11,2,468.51
C-00044,C-00026,C-00089,2025-01-08,5,249.19
A-00045,B-00379,C-00098,2024-06-24,5,120.7
B-00046,A-00093,B-00037,2024-06-13,2,207.89
C-00047,C-00128,A-00027,2025-04-08,5,414.99
A-00048,C-00377,B-00076,2024-12-26,4,79.08
B-00049,A-00477,A-00066,2024-11-28,2,185.84
C-00050,B-00319,C-00095,2024-09-18,1,432.85
A-00051,B-00484,B-00025,2025-01-21,5,127.02
B-00052,C-00461,B-00091,2025-03-16,5,140.98
